,Security Code,Security Id,Security Name,Status,Group,Face Value,ISIN No,Industry,Instrument
5554,533217,HMVL,HINDUSTAN MEDIA VENTURES LTD.,Active,B ,10.0,INE871K01015,Publishing,Equity
5555,533218,EMAMIINFRA,EMAMI INFRASTRUCTURE LTD.,Active,B ,2.0,INE778K01012,Realty,Equity
5558,533221,AHLWEST,ASIAN HOTELS (WEST) LTD.,Active,T ,10.0,INE915K01010,Hotels,Equity
5560,533227,AHLEAST,ASIAN HOTELS (EAST) LTD.,Active,B ,10.0,INE926K01017,Hotels,Equity
5561,533228,BHARATFIN,Bharat Financial Inclusion Ltd,Active,A ,10.0,INE180K01011,Finance (including NBFCs),Equity
5562,533229,BAJAJCORP,BAJAJ CORP LTD.,Active,B ,1.0,INE933K01021,Personal Products,Equity
5565,533248,GPPL,GUJARAT PIPAVAV PORT LTD.,Active,A ,10.0,INE517F01014,Marine Port &amp; Services,Equity
5566,533252,WELINV,WELSPUN INVESTMENTS AND COMMERCIALS LTD.,Active,B ,10.0,INE389K01018,Other Financial Services,Equity
5568,533257,INDOSOLAR,INDOSOLAR LTD.,Active,B ,10.0,INE866K01015,Other Elect.Equip./ Prod.,Equity
5570,533259,SASTASUNDR,Sastasundar Ventures Ltd,Active,T ,10.0,INE019J01013,Healthcare Services,Equity
5571,533260,CAREERP,CAREER POINT LTD.,Active,B ,10.0,INE521J01018,Education,Equity
5572,533261,EROSMEDIA,EROS INTERNATIONAL MEDIA LTD.,Active,B ,10.0,INE416L01017,Movies &amp; Entertainment,Equity
5573,533262,RAMKY,RAMKY INFRASTRUCTURE LTD.,Active,B ,10.0,INE874I01013,Construction &amp; Engineering,Equity
5574,533263,GREENPOWER,ORIENT GREEN POWER COMPANY LTD.,Active,B ,10.0,INE999K01014,Electric Utilities,Equity
5575,533264,ESL,ELECTROSTEEL STEELS LTD.,Active,T ,10.0,INE481K01013,Construction &amp; Engineering,Equity
5578,533267,CANTABIL,CANTABIL RETAIL INDIA LTD.,Active,B ,10.0,INE068L01016,Other Apparels &amp; Accessories,Equity
5579,533269,WABAG,VA TECH WABAG LTD.,Active,A ,2.0,INE956G01038,Utilities:Non-Elec.,Equity
5580,533270,BEDMUTHA,BEDMUTHA INDUSTRIES LTD.,Active,B ,10.0,INE844K01012,Iron &amp; Steel Products,Equity
